fund,date,ticker,weight
combined_equal_weight,2023-03-01,MMM,0.016666666666666666
combined_equal_weight,2023-04-03,MMM,0.016666666666666666
combined_equal_weight,2023-05-01,MMM,0.016666666666666666
combined_equal_weight,2023-06-01,MMM,0.016666666666666666
combined_equal_weight,2023-07-03,MMM,0.016666666666666666
combined_equal_weight,2023-08-01,MMM,0.016666666666666666
combined_equal_weight,2023-09-01,MMM,0.016666666666666666
combined_equal_weight,2023-10-02,MMM,0.016666666666666666
combined_equal_weight,2023-11-01,MMM,0.016666666666666666
combined_equal_weight,2023-12-01,MMM,0.016666666666666666
combined_equal_weight,2021-01-04,MRK,0.016666666666666666
combined_equal_weight,2021-02-01,MRK,0.016666666666666666
combined_equal_weight,2021-03-01,MRK,0.016666666666666666
combined_equal_weight,2021-04-01,MRK,0.016666666666666666
combined_equal_weight,2021-05-03,MRK,0.016666666666666666
combined_equal_weight,2021-06-01,MRK,0.016666666666666666
combined_equal_weight,2021-07-01,MRK,0.016666666666666666
combined_equal_weight,2021-08-02,MRK,0.016666666666666666
combined_equal_weight,2021-09-01,MRK,0.016666666666666666
combined_equal_weight,2021-10-01,MRK,0.016666666666666666
combined_equal_weight,2021-11-01,MRK,0.016666666666666666
combined_equal_weight,2021-12-01,MRK,0.016666666666666666
combined_equal_weight,2022-01-03,MRK,0.016666666666666666
combined_equal_weight,2022-02-01,MRK,0.016666666666666666
combined_equal_weight,2022-03-01,MRK,0.016666666666666666
combined_equal_weight,2022-04-01,MRK,0.016666666666666666
combined_equal_weight,2022-05-02,MRK,0.016666666666666666
combined_equal_weight,2022-06-01,MRK,0.016666666666666666
combined_equal_weight,2022-07-01,MRK,0.016666666666666666
combined_equal_weight,2022-08-01,MRK,0.016666666666666666
combined_equal_weight,2022-09-01,MRK,0.016666666666666666
combined_equal_weight,2022-10-03,MRK,0.016666666666666666
combined_equal_weight,2022-11-01,MRK,0.016666666666666666
combined_equal_weight,2022-12-01,MRK,0.016666666666666666
combined_equal_weight,2023-01-03,MRK,0.016666666666666666
combined_equal_weight,2023-02-01,MRK,0.016666666666666666
combined_equal_weight,2023-03-01,MRK,0.016666666666666666
combined_equal_weight,2023-04-03,MRK,0.016666666666666666
combined_equal_weight,2023-05-01,MRK,0.016666666666666666
combined_equal_weight,2023-06-01,MRK,0.016666666666666666
combined_equal_weight,2023-07-03,MRK,0.016666666666666666
combined_equal_weight,2023-08-01,MRK,0.016666666666666666
combined_equal_weight,2023-09-01,MRK,0.016666666666666666
combined_equal_weight,2023-10-02,MRK,0.016666666666666666
combined_equal_weight,2023-11-01,MRK,0.016666666666666666
combined_equal_weight,2023-12-01,MRK,0.016666666666666666
combined_equal_weight,2021-01-04,MS,0.016666666666666666
combined_equal_weight,2021-02-01,MS,0.016666666666666666
combined_equal_weight,2021-03-01,MS,0.016666666666666666
combined_equal_weight,2021-04-01,MS,0.016666666666666666
combined_equal_weight,2021-05-03,MS,0.016666666666666666
combined_equal_weight,2021-06-01,MS,0.016666666666666666
combined_equal_weight,2021-07-01,MS,0.016666666666666666
combined_equal_weight,2021-08-02,MS,0.016666666666666666
combined_equal_weight,2021-09-01,MS,0.016666666666666666
combined_equal_weight,2021-10-01,MS,0.016666666666666666
combined_equal_weight,2021-11-01,MS,0.016666666666666666
combined_equal_weight,2021-12-01,MS,0.016666666666666666
combined_equal_weight,2022-01-03,MS,0.016666666666666666
combined_equal_weight,2022-02-01,MS,0.016666666666666666
combined_equal_weight,2022-03-01,MS,0.016666666666666666
combined_equal_weight,2022-04-01,MS,0.016666666666666666
combined_equal_weight,2022-05-02,MS,0.016666666666666666
combined_equal_weight,2022-06-01,MS,0.016666666666666666
combined_equal_weight,2022-07-01,MS,0.016666666666666666
combined_equal_weight,2022-08-01,MS,0.016666666666666666
combined_equal_weight,2022-09-01,MS,0.016666666666666666
combined_equal_weight,2022-10-03,MS,0.016666666666666666
combined_equal_weight,2022-11-01,MS,0.016666666666666666
combined_equal_weight,2022-12-01,MS,0.016666666666666666
combined_equal_weight,2023-01-03,MS,0.016666666666666666
combined_equal_weight,2023-02-01,MS,0.016666666666666666
combined_equal_weight,2023-03-01,MS,0.016666666666666666
combined_equal_weight,2023-04-03,MS,0.016666666666666666
combined_equal_weight,2023-05-01,MS,0.016666666666666666
combined_equal_weight,2023-06-01,MS,0.016666666666666666
combined_equal_weight,2023-07-03,MS,0.016666666666666666
combined_equal_weight,2023-08-01,MS,0.016666666666666666
combined_equal_weight,2023-09-01,MS,0.016666666666666666
combined_equal_weight,2023-10-02,MS,0.016666666666666666
combined_equal_weight,2023-11-01,MS,0.016666666666666666
combined_equal_weight,2023-12-01,MS,0.016666666666666666
combined_equal_weight,2021-01-04,NEE,0.016666666666666666
combined_equal_weight,2021-02-01,NEE,0.016666666666666666
combined_equal_weight,2021-03-01,NEE,0.016666666666666666
combined_equal_weight,2021-04-01,NEE,0.016666666666666666
combined_equal_weight,2021-05-03,NEE,0.016666666666666666
combined_equal_weight,2021-06-01,NEE,0.016666666666666666
combined_equal_weight,2021-07-01,NEE,0.016666666666666666
combined_equal_weight,2021-08-02,NEE,0.016666666666666666
combined_equal_weight,2021-09-01,NEE,0.016666666666666666
combined_equal_weight,2021-10-01,NEE,0.016666666666666666
combined_equal_weight,2021-11-01,NEE,0.016666666666666666
combined_equal_weight,2021-12-01,NEE,0.016666666666666666
combined_equal_weight,2022-01-03,NEE,0.016666666666666666
combined_equal_weight,2022-02-01,NEE,0.016666666666666666
combined_equal_weight,2022-03-01,NEE,0.016666666666666666
combined_equal_weight,2022-04-01,NEE,0.016666666666666666
combined_equal_weight,2022-05-02,NEE,0.016666666666666666
combined_equal_weight,2022-06-01,NEE,0.016666666666666666
combined_equal_weight,2022-07-01,NEE,0.016666666666666666
combined_equal_weight,2022-08-01,NEE,0.016666666666666666
combined_equal_weight,2022-09-01,NEE,0.016666666666666666
combined_equal_weight,2022-10-03,NEE,0.016666666666666666
combined_equal_weight,2022-11-01,NEE,0.016666666666666666
combined_equal_weight,2022-12-01,NEE,0.016666666666666666
combined_equal_weight,2023-01-03,NEE,0.016666666666666666
combined_equal_weight,2023-02-01,NEE,0.016666666666666666
combined_equal_weight,2023-03-01,NEE,0.016666666666666666
combined_equal_weight,2023-04-03,NEE,0.016666666666666666
combined_equal_weight,2023-05-01,NEE,0.016666666666666666
combined_equal_weight,2023-06-01,NEE,0.016666666666666666
combined_equal_weight,2023-07-03,NEE,0.016666666666666666
combined_equal_weight,2023-08-01,NEE,0.016666666666666666
combined_equal_weight,2023-09-01,NEE,0.016666666666666666
combined_equal_weight,2023-10-02,NEE,0.016666666666666666
combined_equal_weight,2023-11-01,NEE,0.016666666666666666
combined_equal_weight,2023-12-01,NEE,0.016666666666666666
combined_equal_weight,2021-01-04,NEM,0.016666666666666666
combined_equal_weight,2021-02-01,NEM,0.016666666666666666
combined_equal_weight,2021-03-01,NEM,0.016666666666666666
combined_equal_weight,2021-04-01,NEM,0.016666666666666666
combined_equal_weight,2021-05-03,NEM,0.016666666666666666
combined_equal_weight,2021-06-01,NEM,0.016666666666666666
combined_equal_weight,2021-07-01,NEM,0.016666666666666666
combined_equal_weight,2021-08-02,NEM,0.016666666666666666
combined_equal_weight,2021-09-01,NEM,0.016666666666666666
combined_equal_weight,2021-10-01,NEM,0.016666666666666666
combined_equal_weight,2021-11-01,NEM,0.016666666666666666
combined_equal_weight,2021-12-01,NEM,0.016666666666666666
combined_equal_weight,2022-01-03,NEM,0.016666666666666666
combined_equal_weight,2022-02-01,NEM,0.016666666666666666
combined_equal_weight,2022-03-01,NEM,0.016666666666666666
combined_equal_weight,2022-04-01,NEM,0.016666666666666666
combined_equal_weight,2022-05-02,NEM,0.016666666666666666
combined_equal_weight,2022-06-01,NEM,0.016666666666666666
combined_equal_weight,2022-07-01,NEM,0.016666666666666666
combined_equal_weight,2022-08-01,NEM,0.016666666666666666
combined_equal_weight,2022-09-01,NEM,0.016666666666666666
combined_equal_weight,2022-10-03,NEM,0.016666666666666666
combined_equal_weight,2022-11-01,NEM,0.016666666666666666
combined_equal_weight,2022-12-01,NEM,0.016666666666666666
combined_equal_weight,2023-01-03,NEM,0.016666666666666666
combined_equal_weight,2023-02-01,NEM,0.016666666666666666
combined_equal_weight,2023-03-01,NEM,0.016666666666666666
combined_equal_weight,2023-04-03,NEM,0.016666666666666666
combined_equal_weight,2023-05-01,NEM,0.016666666666666666
combined_equal_weight,2023-06-01,NEM,0.016666666666666666
combined_equal_weight,2023-07-03,NEM,0.016666666666666666
combined_equal_weight,2023-08-01,NEM,0.016666666666666666
combined_equal_weight,2023-09-01,NEM,0.016666666666666666
combined_equal_weight,2023-10-02,NEM,0.016666666666666666
combined_equal_weight,2023-11-01,NEM,0.016666666666666666
combined_equal_weight,2023-12-01,NEM,0.016666666666666666
combined_equal_weight,2021-01-04,NKE,0.016666666666666666
combined_equal_weight,2021-02-01,NKE,0.016666666666666666
combined_equal_weight,2021-03-01,NKE,0.016666666666666666
combined_equal_weight,2021-04-01,NKE,0.016666666666666666
combined_equal_weight,2021-05-03,NKE,0.016666666666666666
combined_equal_weight,2021-06-01,NKE,0.016666666666666666
combined_equal_weight,2021-07-01,NKE,0.016666666666666666
combined_equal_weight,2021-08-02,NKE,0.016666666666666666
combined_equal_weight,2021-09-01,NKE,0.016666666666666666
combined_equal_weight,2021-10-01,NKE,0.016666666666666666
combined_equal_weight,2021-11-01,NKE,0.016666666666666666
combined_equal_weight,2021-12-01,NKE,0.016666666666666666
combined_equal_weight,2022-01-03,NKE,0.016666666666666666
combined_equal_weight,2022-02-01,NKE,0.016666666666666666
combined_equal_weight,2022-03-01,NKE,0.016666666666666666
combined_equal_weight,2022-04-01,NKE,0.016666666666666666
combined_equal_weight,2022-05-02,NKE,0.016666666666666666
combined_equal_weight,2022-06-01,NKE,0.016666666666666666
combined_equal_weight,2022-07-01,NKE,0.016666666666666666
combined_equal_weight,2022-08-01,NKE,0.016666666666666666
combined_equal_weight,2022-09-01,NKE,0.016666666666666666
combined_equal_weight,2022-10-03,NKE,0.016666666666666666
combined_equal_weight,2022-11-01,NKE,0.016666666666666666
combined_equal_weight,2022-12-01,NKE,0.016666666666666666
combined_equal_weight,2023-01-03,NKE,0.016666666666666666
combined_equal_weight,2023-02-01,NKE,0.016666666666666666
combined_equal_weight,2023-03-01,NKE,0.016666666666666666
combined_equal_weight,2023-04-03,NKE,0.016666666666666666
combined_equal_weight,2023-05-01,NKE,0.016666666666666666
combined_equal_weight,2023-06-01,NKE,0.016666666666666666
combined_equal_weight,2023-07-03,NKE,0.016666666666666666
combined_equal_weight,2023-08-01,NKE,0.016666666666666666
combined_equal_weight,2023-09-01,NKE,0.016666666666666666
combined_equal_weight,2023-10-02,NKE,0.016666666666666666
combined_equal_weight,2023-11-01,NKE,0.016666666666666666
